Date,Hour,Charge_Full,Charge_Full_Design,Battery_Health
19/04/2024,08:00,3165000,3620000,87.43094
19/04/2024,09:00,3165000,3620000,87.43094
19/04/2024,10:00,3165000,3620000,87.43094
19/04/2024,11:00,3203000,3620000,88.480663
19/04/2024,12:00,3203000,3620000,88.480663
19/04/2024,13:00,3203000,3620000,88.480663
19/04/2024,14:00,3203000,3620000,88.480663
19/04/2024,15:00,3203000,3620000,88.480663
19/04/2024,16:00,3203000,3620000,88.480663
19/04/2024,17:00,3203000,3620000,88.480663
19/04/2024,18:00,3203000,3620000,88.480663
19/04/2024,18:30,3203000,3620000,88.48067
19/04/2024,18:50,3203000,3620000,88.48067
19/04/2024,19:00,3203000,3620000,88.48067
19/04/2024,19:01,3203000,3620000,88.48067
19/04/2024,19:02,3203000,3620000,88.48067
19/04/2024,19:03,3203000,3620000,88.48067
19/04/2024,19:04,3203000,3620000,88.48067
19/04/2024,19:05,3203000,3620000,88.48067
19/04/2024,19:06,3203000,3620000,88.48067
19/04/2024,19:07,3203000,3620000,88.48067
19/04/2024,19:08,3203000,3620000,88.48067
19/04/2024,19:09,3203000,3620000,88.48067
19/04/2024,19:10,3203000,3620000,88.48067
19/04/2024,19:11,3203000,3620000,88.48067
19/04/2024,19:12,3203000,3620000,88.48067
19/04/2024,19:13,3203000,3620000,88.48067
19/04/2024,19:14,3203000,3620000,88.48067
19/04/2024,19:15,3203000,3620000,88.48067
19/04/2024,19:16,3203000,3620000,88.48067
19/04/2024,19:17,3203000,3620000,88.48067
19/04/2024,19:18,3203000,3620000,88.48067
19/04/2024,19:19,3203000,3620000,88.48067
19/04/2024,19:20,3203000,3620000,88.48067
19/04/2024,19:21,3203000,3620000,88.48067
19/04/2024,19:22,3203000,3620000,88.48067
19/04/2024,19:23,3203000,3620000,88.48067
19/04/2024,19:24,3203000,3620000,88.48067
19/04/2024,19:25,3203000,3620000,88.48067
19/04/2024,19:26,3203000,3620000,88.48067
19/04/2024,19:27,3203000,3620000,88.48067
19/04/2024,19:28,3203000,3620000,88.48067
19/04/2024,19:29,3203000,3620000,88.48067
19/04/2024,19:30,3203000,3620000,88.48067
19/04/2024,19:31,3203000,3620000,88.48067
19/04/2024,19:32,3203000,3620000,88.48067
19/04/2024,19:33,3203000,3620000,88.48067
19/04/2024,19:34,3203000,3620000,88.48067
19/04/2024,19:35,3203000,3620000,88.48067
19/04/2024,19:36,3203000,3620000,88.48067
19/04/2024,19:37,3203000,3620000,88.48067
19/04/2024,19:38,3203000,3620000,88.48067
19/04/2024,19:39,3203000,3620000,88.48067
19/04/2024,19:40,3203000,3620000,88.48067
19/04/2024,19:41,3203000,3620000,88.48067
19/04/2024,19:42,3203000,3620000,88.48067
19/04/2024,19:43,3203000,3620000,88.48067
19/04/2024,19:44,3203000,3620000,88.48067
19/04/2024,19:45,3203000,3620000,88.48067
19/04/2024,19:46,3203000,3620000,88.48067
19/04/2024,19:47,3203000,3620000,88.48067
19/04/2024,19:48,3203000,3620000,88.48067
19/04/2024,19:49,3203000,3620000,88.48067
19/04/2024,19:50,3203000,3620000,88.48067
19/04/2024,19:51,3203000,3620000,88.48067
19/04/2024,19:52,3203000,3620000,88.48067
19/04/2024,19:53,3203000,3620000,88.48067
19/04/2024,19:54,3203000,3620000,88.48067
19/04/2024,19:55,3203000,3620000,88.48067
19/04/2024,19:56,3203000,3620000,88.48067
19/04/2024,19:57,3203000,3620000,88.48067
19/04/2024,19:58,3203000,3620000,88.48067
19/04/2024,19:59,3203000,3620000,88.48067
19/04/2024,20:00,3203000,3620000,88.48067
19/04/2024,20:01,3203000,3620000,88.48067
19/04/2024,20:02,3203000,3620000,88.48067
19/04/2024,20:03,3203000,3620000,88.48067
19/04/2024,20:04,3203000,3620000,88.48067
19/04/2024,20:05,3203000,3620000,88.48067
19/04/2024,20:06,3203000,3620000,88.48067
19/04/2024,20:07,3203000,3620000,88.48067
19/04/2024,20:08,3203000,3620000,88.48067
19/04/2024,20:09,3203000,3620000,88.48067
19/04/2024,20:10,3203000,3620000,88.48067
19/04/2024,20:11,3203000,3620000,88.48067
19/04/2024,20:12,3203000,3620000,88.48067
19/04/2024,20:13,3203000,3620000,88.48067
19/04/2024,20:14,3203000,3620000,88.48067
19/04/2024,20:15,3203000,3620000,88.48067
19/04/2024,20:16,3203000,3620000,88.48067
19/04/2024,20:17,3203000,3620000,88.48067
19/04/2024,20:18,3203000,3620000,88.48067
19/04/2024,20:19,3203000,3620000,88.48067
19/04/2024,20:20,3203000,3620000,88.48067
19/04/2024,20:21,3203000,3620000,88.48067
19/04/2024,20:22,3203000,3620000,88.48067
19/04/2024,20:23,3203000,3620000,88.48067
19/04/2024,20:24,3203000,3620000,88.48067
19/04/2024,20:25,3203000,3620000,88.48067
19/04/2024,20:26,3203000,3620000,88.48067
19/04/2024,20:27,3203000,3620000,88.48067
19/04/2024,20:28,3203000,3620000,88.48067
19/04/2024,20:29,3203000,3620000,88.48067
19/04/2024,20:30,3203000,3620000,88.48067
19/04/2024,20:31,3203000,3620000,88.48067
19/04/2024,20:32,3203000,3620000,88.48067
19/04/2024,20:33,3203000,3620000,88.48067
19/04/2024,20:34,3203000,3620000,88.48067
19/04/2024,20:35,3203000,3620000,88.48067
19/04/2024,20:36,3203000,3620000,88.48067
19/04/2024,20:37,3203000,3620000,88.48067
19/04/2024,20:38,3203000,3620000,88.48067
19/04/2024,20:39,3203000,3620000,88.48067
19/04/2024,20:40,3203000,3620000,88.48067
19/04/2024,20:41,3203000,3620000,88.48067
19/04/2024,20:42,3203000,3620000,88.48067
19/04/2024,20:43,3203000,3620000,88.48067
19/04/2024,20:44,3203000,3620000,88.48067
19/04/2024,20:45,3203000,3620000,88.48067
19/04/2024,20:46,3203000,3620000,88.48067
19/04/2024,20:47,3203000,3620000,88.48067
19/04/2024,20:48,3203000,3620000,88.48067
19/04/2024,20:49,3203000,3620000,88.48067
19/04/2024,20:50,3203000,3620000,88.48067
19/04/2024,20:51,3203000,3620000,88.48067
19/04/2024,20:52,3203000,3620000,88.48067
19/04/2024,20:53,3203000,3620000,88.48067
19/04/2024,20:54,3203000,3620000,88.48067
19/04/2024,20:55,3203000,3620000,88.48067
19/04/2024,20:56,3203000,3620000,88.48067
19/04/2024,20:57,3203000,3620000,88.48067
19/04/2024,20:58,3203000,3620000,88.48067
19/04/2024,20:59,3203000,3620000,88.48067
19/04/2024,21:00,3203000,3620000,88.48067
19/04/2024,21:01,3203000,3620000,88.48067
19/04/2024,21:02,3203000,3620000,88.48067
19/04/2024,21:03,3203000,3620000,88.48067
19/04/2024,21:04,3203000,3620000,88.48067
19/04/2024,21:05,3203000,3620000,88.48067
19/04/2024,21:06,3203000,3620000,88.48067
19/04/2024,21:07,3203000,3620000,88.48067
19/04/2024,21:08,3203000,3620000,88.48067
19/04/2024,21:09,3203000,3620000,88.48067
19/04/2024,21:10,3203000,3620000,88.48067
19/04/2024,21:11,3203000,3620000,88.48067
19/04/2024,21:12,3203000,3620000,88.48067
19/04/2024,21:13,3203000,3620000,88.48067
19/04/2024,21:14,3203000,3620000,88.48067
19/04/2024,21:15,3203000,3620000,88.48067
19/04/2024,21:16,3203000,3620000,88.48067
19/04/2024,21:17,3203000,3620000,88.48067
19/04/2024,21:18,3203000,3620000,88.48067
19/04/2024,21:19,3203000,3620000,88.48067
19/04/2024,21:20,3203000,3620000,88.48067
19/04/2024,21:21,3203000,3620000,88.48067
19/04/2024,21:22,3203000,3620000,88.48067
19/04/2024,21:23,3203000,3620000,88.48067
19/04/2024,21:24,3203000,3620000,88.48067
19/04/2024,21:25,3203000,3620000,88.48067
19/04/2024,21:26,3203000,3620000,88.48067
19/04/2024,21:29,3203000,3620000,88.48067
19/04/2024,21:30,3203000,3620000,88.48067
19/04/2024,21:31,3203000,3620000,88.48067
